Medidor,Consumo (kW),Ano,Mes
1,557,2021,1
2,652,2021,1
3,487,2021,1
4,23,2021,1
5,237,2021,1
6,217,2021,1
7,431,2021,1
8,249,2021,1
9,252,2021,1
10,134,2021,1
11,341,2021,1
12,937,2021,1
13,836,2021,1
14,590,2021,1
15,818,2021,1
1,401,2021,2
2,725,2021,2
3,902,2021,2
4,42,2021,2
5,676,2021,2
6,305,2021,2
7,839,2021,2
8,260,2021,2
9,653,2021,2
10,227,2021,2
11,461,2021,2
12,315,2021,2
13,519,2021,2
14,537,2021,2
15,830,2021,2
1,630,2021,3
2,360,2021,3
3,632,2021,3
4,508,2021,3
5,526,2021,3
6,334,2021,3
7,701,2021,3
8,668,2021,3
9,840,2021,3
10,90,2021,3
11,506,2021,3
12,710,2021,3
13,101,2021,3
14,346,2021,3
15,792,2021,3
